Reg_yr,Manufacturing_yr,Km_driven,Engine capacity,Prev_owners,Cylinders,Max Power,Seater,Ground_clearance,Bootspace,Fueltank,Airbags,Fueltype,RTO,Transmission,Insurance_expiry,Insurance_type,Drivetrain,Bodytype,Model,Brand,City,Price
Jul 2018,Jul 2017,"42,000 km",1968cc,3rd,4,150@3250,4,,480,40,6,Diesel,WB02**9299,Automatic,2025-09-01,Comprehensive,Front Wheel Drive,Sedan,A5,Audi,kolkata,2250000
Feb 2014,Feb 2013,"76,178 km",1968cc,2nd,4,177@3750,5,,530,65,,Diesel,KA03**5136,Automatic,1970-01-01,,Front Wheel Drive,Sedan,A6,Audi,bangalore,1645000
Jun 2015,Jun 2015,"42,000 km",1968cc,1st,4,190@3800,5,,530,75,8,Diesel,DL8C**8545,Automatic,2025-06-01,Comprehensive,Front Wheel Drive,Sedan,A6,Audi,new-delhi,1200000
Jun 2017,Jun 2017,"47,077 km",1968cc,1st,4,190@3800,5,,530,75,8,Diesel,WB02**3570,Automatic,2025-06-01,Comprehensive,Front Wheel Drive,Sedan,A6,Audi,kolkata,1750000
Sep 2020,Sep 2019,"31,934 km",,1st,,,,,,,,Petrol,WB02**3098,Automatic,2025-09-01,Comprehensive,,Sedan,A6,Audi,kolkata,3300000
Mar 2023,Mar 2023,"13,268 km",1984cc,1st,4,245@5000,5,,530,73,8,Petrol,DL9C**3553,Automatic,2026-03-01,Comprehensive,Front Wheel Drive,Sedan,A6,Audi,new-delhi,5000000
Oct 2018,Oct 2018,"27,420 km",1968cc,1st,4,190@3800,5,208,550,70,8,Diesel,KA03**6481,Automatic,1970-01-01,,4X4,SUV,Q5,Audi,bangalore,3775000
Nov 2018,Nov 2018,"77,669 km",1968cc,2nd,4,190@3800,5,208,550,70,8,Diesel,MH12**0900,Automatic,1970-01-01,,4X4,SUV,Q5,Audi,pune,3290000
Apr 2019,Apr 2019,"75,000 km",1968cc,1st,4,190@3800,5,208,550,70,8,Diesel,WB02**9702,Automatic,2026-03-01,Comprehensive,4X4,SUV,Q5,Audi,kolkata,2400000
May 2015,May 2015,"75,200 km",2967cc,2nd,6,245@2910,7,,295,75,8,Diesel,HR29**0035,Automatic,1970-01-01,,4X4,SUV,Q7,Audi,new-delhi,1250000
Mar 2023,Mar 2023,"4,150 km",1998cc,1st,4,176@5000,5,142,430,50,6,Petrol,WB06*6132,Automatic,2026-03-01,Comprehensive,Front Wheel Drive,Sedan,2 SERIES GRAN COUPE,BMW,kolkata,3200000
Jul 2017,Jul 2017,"19,500 km",1998cc,2nd,4,252@5200,5,165,520,60,6,Petrol,WB74**9000,Automatic,2025-06-01,Comprehensive,Rear Wheel Drive,Sedan,3 Series,BMW,kolkata,2100000
Sep 2017,Sep 2017,"27,500 km",1995cc,1st,4,190@4000,5,157,480,57,6,Diesel,HR26**1429,Automatic,1970-01-01,,Rear Wheel Drive,Sedan,3 Series,BMW,new-delhi,2350000
Jun 2018,Jun 2018,"22,009 km",1995cc,1st,4,190@4000,5,157,480,57,6,Diesel,WB02**9044,Automatic,2025-06-01,Comprehensive,Rear Wheel Drive,Sedan,3 Series,BMW,kolkata,2200000
Oct 2020,Oct 2020,"44,988 km",1998cc,1st,4,258@5000,5,136,480,59,6,Petrol,KA03**2418,Automatic,1970-01-01,,Rear Wheel Drive,Sedan,3 Series,BMW,bangalore,4175000
Jul 2021,Jul 2021,"44,255 km",1995cc,1st,4,190@4000,5,136,480,40,6,Diesel,WB34**0303,Automatic,1970-01-01,,Rear Wheel Drive,Sedan,3 SERIES GRAN LIMOUSINE,BMW,kolkata,3275000
Sep 2022,Jun 2022,"29,474 km",1995cc,1st,4,190@4000,5,136,480,40,6,Diesel,******6688,Automatic,,Insurance Expired,Rear Wheel Drive,Sedan,3 SERIES GRAN LIMOUSINE,BMW,chennai,4500000
Sep 2023,Sep 2023,"8,237 km",1998cc,1st,4,258@5000,5,136,480,59,6,Petrol,WB02**4030,Automatic,2026-05-01,Comprehensive,Rear Wheel Drive,Sedan,3 SERIES GRAN LIMOUSINE,BMW,kolkata,4650000
Aug 2017,Aug 2017,"31,000 km",1998cc,3rd,4,252@5200,5,144,400,68,6,Petrol,WB02**7530,Automatic,2026-01-01,Comprehensive,Rear Wheel Drive,Sedan,5 Series,BMW,kolkata,2150000
Aug 2018,May 2018,"49,080 km",2993cc,2nd,6,265@4000,5,144,400,66,6,Diesel,*****3333,Automatic,2025-08-10,Comprehensive,Rear Wheel Drive,Sedan,5 Series,BMW,chennai,3453000
Jul 2018,Jul 2018,"50,271 km",2993cc,2nd,6,265@4000,5,144,400,66,6,Diesel,MH12**7865,Automatic,1970-01-01,,Rear Wheel Drive,Sedan,5 Series,BMW,pune,4250000
Nov 2019,Nov 2019,"52,973 km",1998cc,1st,4,252@5200,5,144,400,68,6,Petrol,KA04**2028,Automatic,1970-01-01,,Rear Wheel Drive,Sedan,5 Series,BMW,bangalore,4375000
Mar 2018,Mar 2018,"24,240 km",1998cc,2nd,4,258@5000,5,138,610,68,6,Petrol,WB02**5916,Automatic,2025-08-01,Comprehensive,Rear Wheel Drive,Sedan,6 Series,BMW,new-delhi,4700000
Jun 2024,Jun 2024,"5,826 km",1995cc,1st,4,190@4000,5,138,610,68,6,Diesel,MH03**5550,Automatic,2025-05-01,Comprehensive,Rear Wheel Drive,Sedan,6 Series,BMW,pune,7499999
Dec 2024,Dec 2024,"10,858 km",2998cc,1st,6,374@5500,5,130,480,59,6,Petrol,KA20**9292,Automatic,2027-12-01,Third party,4X4,Sedan,M340i,BMW,bangalore,7500000
Feb 2018,Feb 2017,"51,100 km",1995cc,1st,4,190@4000,5,165,505,61,6,Diesel,KA03**2201,Automatic,1970-01-01,,4X4,SUV,X1,BMW,bangalore,2750000
Oct 2021,Oct 2021,"46,024 km",1995cc,1st,4,190@4000,5,183,505,51,6,Diesel,******6700,Automatic,2025-10-04,Comprehensive,Front Wheel Drive,SUV,X1,BMW,bangalore,3200000
Feb 2021,Feb 2021,"20,000 km",1998cc,1st,4,192@5000,5,183,505,51,6,Petrol,HP24*3241,Automatic,1970-01-01,,Front Wheel Drive,SUV,X1,BMW,new-delhi,2800000
Jul 2022,Apr 2022,"19,751 km",1995cc,1st,4,190@4000,5,183,505,51,6,Diesel,******2000,Automatic,2025-07-10,Comprehensive,Front Wheel Drive,SUV,X1,BMW,chennai,3600000
Apr 2022,Apr 2022,"35,609 km",1995cc,1st,4,190@4000,5,183,505,51,6,Diesel,MH16**0015,Automatic,1970-01-01,,Front Wheel Drive,SUV,X1,BMW,pune,3850000
May 2017,May 2017,"56,625 km",2993cc,2nd,6,258@4000,5,209,650,85,6,Diesel,KA41**5859,Automatic,1970-01-01,,4X4,SUV,X5,BMW,bangalore,4395000
Sep 2020,Sep 2020,"23,800 km",2993cc,1st,6,265@4000,6,221,326,80,7,Diesel,WB02**3060,Automatic,2025-09-01,Comprehensive,4X4,SUV,X7,BMW,kolkata,7300000
Oct 2020,Oct 2020,"40,996 km",2993cc,1st,6,265@4000,6,221,326,80,7,Diesel,MH12**9910,Automatic,2025-10-01,Comprehensive,4X4,SUV,X7,BMW,pune,9200000
Jan 2017,Jan 2017,"31,220 km",1198cc,2nd,3,68@5000,5,170,265,35,,Petrol,TN21**6350,Manual,2026-01-10,3rd Party,Front Wheel Drive,Hatchback,Go,Datsun,chennai,275000
Jun 2017,Apr 2017,"92,985 km",1198cc,1st,3,68@5000,5,170,265,35,,Petrol,TS09**1191,Manual,2025-07-13,Comprehensive,Front Wheel Drive,Hatchback,Go,Datsun,hyderabad,231796
Jul 2018,Feb 2018,"99,609 km",1198cc,2nd,3,68@5000,5,170,265,35,,Petrol,DL3C**4025,Manual,2024-10-12,3rd Party,Front Wheel Drive,Hatchback,Go,Datsun,ghaziabad,231796
Jun 2018,Apr 2018,"20,924 km",,1st,,,,,,,,Petrol,KL32*7138,Manual,2026-02-09,3rd Party,,Hatchback,Go,Datsun,kochi,286000
Oct 2016,Oct 2016,"41,669 km",799cc,2nd,3,54@5678,5,185,222,28,1,Petrol,KA03**1885,Manual,,Insurance Expired,Front Wheel Drive,Hatchback,Redi Go,Datsun,bangalore,228474
Aug 2016,Jun 2016,"70,418 km",799cc,2nd,3,54@5678,5,185,222,28,,Petrol,TN05**4944,Manual,2026-03-10,3rd Party,Front Wheel Drive,Hatchback,Redi Go,Datsun,chennai,213000
Jun 2017,Apr 2017,"64,833 km",799cc,1st,3,54@5678,5,185,222,28,,Petrol,UP16**3336,Manual,2025-07-26,Comprehensive,Front Wheel Drive,Hatchback,Redi Go,Datsun,noida,230474
Mar 2019,Aug 2018,"79,218 km",999cc,1st,3,68@5500,5,185,222,28,1,Petrol,KA01**0973,Manual,2025-05-22,Comprehensive,Front Wheel Drive,Hatchback,Redi Go,Datsun,bangalore,243474
Jun 2018,Mar 2018,"64,617 km",999cc,2nd,3,68@5500,5,185,222,28,1,Petrol,TN06*6816,Automatic,2025-11-14,Comprehensive,Front Wheel Drive,Hatchback,Redi Go,Datsun,chennai,291474
Aug 2018,Jan 2018,"36,322 km",799cc,1st,3,54@5678,5,185,222,28,,Petrol,MH04**5564,Manual,2025-08-03,Comprehensive,Front Wheel Drive,Hatchback,Redi Go,Datsun,mumbai,240474
Jul 2019,Jul 2019,"39,566 km",999cc,2nd,3,68@5500,5,185,222,28,,Petrol,GJ01**9806,Manual,2026-02-17,3rd Party,Front Wheel Drive,Hatchback,Redi Go,Datsun,ahmedabad,229302
Mar 2020,Jul 2019,"92,782 km",999cc,1st,3,68@5500,5,185,222,28,1,Petrol,GJ27**4758,Manual,2025-10-30,3rd Party,Front Wheel Drive,Hatchback,Redi Go,Datsun,ahmedabad,202269
Jun 2019,Apr 2019,"69,889 km",799cc,1st,3,54@5678,5,185,222,28,,Petrol,KL10**8811,Manual,2025-08-12,3rd Party,Front Wheel Drive,Hatchback,Redi Go,Datsun,kochi,203474
Oct 2019,Jul 2019,"31,716 km",999cc,1st,3,68@5500,5,185,222,28,1,Petrol,WB12**0125,Manual,,Insurance Expired,Front Wheel Drive,Hatchback,Redi Go,Datsun,kolkata,267230
